집계년월,시군명,농원명,대표자명,승인연도,농원면적,주요시설정보,소재지우편번호,소재지지번주소,소재지도로명주소,WGS84위도,WGS84경도
2024-12,포천시,홀스킹덤팜스테이관광농원,,2014,8354,"영농체험시설,편의시설(야영장)",,,,,
2024-12,포천시,키즈글램핑GEO,,2016,11137,"영농체험시설,편의시설(야영장)",,,,,
2024-12,포천시,각흘,,2016,15195,"영농체험시설,편의시설(야영장)",,,,,
2024-12,포천시,고추잠자리,,2011,8084,"영농체험시설,편의시설(야영장)",,,,,
2024-12,포천시,송우관광농원,,2017,29970,"영농체험시설,편의시설(야영장)",,,,,
2024-12,포천시,그린 관광농원,,2019,7480,"영농체험시설,편의시설(야영장)",,,,,
2024-12,포천시,금동 관광농원,,2016,29990,"영농체험시설,편의시설(야영장)",,,,,
2024-12,포천시,더존 관광농원,,2021,13223,"영농체험시설,편의시설(야영장)",,,,,
2024-12,포천시,청산관광농원,,2015,4987,"영농체험시설,편의시설(야영장)",,,,,
2024-12,포천시,포천그림별관광농원,,2018,4548,"영농체험시설,편의시설(야영장)",,,,,
2024-12,포천시,무림리자연농원,,2019,13005,"영농체험시설,편의시설(야영장)",,,,,
2024-12,포천시,설운관광농원,,2019,19974,"영농체험시설,편의시설(야영장)",,,,,
2024-12,포천시,개울가에캠핑관광농원,,2020,4950,"영농체험시설,편의시설(야영장)",,,,,
2024-12,포천시,BRO관광농원,,2021,8057,"영농체험시설,편의시설(야영장)",,,,,
2024-12,포천시,아이월관광농원,,2022,5890,"영농체험시설,편의시설(야영장)",,,,,
2024-12,포천시,상아골관광농원,,2022,7000,"영농체험시설,편의시설(야영장)",,,,,
2024-12,포천시,울미관광농원,,2021,31092,"영농체험시설,편의시설(야영장)",,,,,
2024-12,포천시,꿈드림관광농원,,2022,8388,"영농체험시설,편의시설(야영장)",,,,,
2024-12,포천시,백운힐링밸리관광농원,,2014,7606,"영농체험시설, 야영장, 글랭핑장, 눈썰매장, 수영장 등",,,,,
2024-12,포천시,인철관광농원,,2013,6496,"영농체험시설, 야영장, 글랭핑장, 눈썰매장, 수영장 등",,,,,
2024-12,포천시,장암관광농원,,2012,4742,"영농체험시설, 야영장, 글랭핑장, 눈썰매장, 수영장 등",,,,,
2024-12,포천시,방아텃골관광농원,,2013,7450,"영농체험시설, 야영장, 글랭핑장, 눈썰매장, 수영장 등",,,,,
2024-12,포천시,산내지관광농원,,2010,15915,"영농체험시설, 야영장, 글랭핑장, 눈썰매장, 수영장 등",,,,,
2024-12,포천시,청우관광농원,,2012,5079,"영농체험시설, 야영장, 글랭핑장, 눈썰매장, 수영장 등",,,,,
2024-12,포천시,추동가족관광농원,,2012,6571,"영농체험시설,캠핑장,화장실 등",,,,,
2024-12,포천시,가래골농원,,2013,15800,"영농체험시설,캠핑장,샤워실 등",,,,,
2024-12,포천시,벚골관광농원,,2009,6850,"영농체험시설,숙박시설 등",,,,,
2024-12,포천시,자일랜드관광농원,,2013,8678,"영농체험시설,야영장,편의시설 등",,,,,
2024-12,포천시,우둠지관광농원,,2009,29449,"영농체험시설,식당,소매점,찜질방,숙박시설 등",,,,,
2024-12,포천시,청담 관광농원,,2012,25401,"영농체험시설,야영장,편의시설 등",,,,,
2024-12,포천시,허브아일랜드관광농원,,2004,99900,"힐링센터,숙박시설,음식점,판매점,영농체험시설,가공센터 등",,,,,
2024-12,포천시,예손농원,,2011,13204,"영농체험시설,야영장,편의시설 등",,,,,
2024-12,포천시,박사관광농원,,2012,5770,"영농체험시설,양어장",,,,,
2024-12,포천시,목석산방관광농원,,2008,18612,가축사육시설,,,,,
2024-12,포천시,이곡관광농원,,2011,10203,"영농체험시설,캠핑장,수영장,눈썰매장",,,,,
2024-12,포천시,칠성관광농원,,2012,7450,"영농체험시설,연못",,,,,
2024-12,포천시,옛뜰애농원,,2012,3689,"영농체험시설,까페",,,,,
2024-12,포천시,유식물원,,2009,27539,"영농체험시설, 캠핑장, 글램핑장, 펜션, 수영장, 눈썰매장",,,,,
2024-12,포천시,노블글램핑관광농원,,2020,9857,"영농체험시설,편의시설(야영장)",,,,,
2024-12,포천시,매봉관광농원,,2020,12596,"영농체험시설,편의시설(야영장)",,,,,
2024-12,포천시,성동관광농원,,2021,3426.5,"영농체험시설,편의시설(야영장)",,,,,
2024-12,포천시,희락농원,,2019,8977,"영농체험시설,편의시설(야영장)",,,,,
2024-12,포천시,다온관광농원,,2023,23998.9,"영농체험시설,편의시설(야영장)",,,,,
2024-12,포천시,더도브관광농원,,2014,18473,"영농체험시설,편의시설(야영장)",,,,,
2024-12,포천시,포애뜰관광농원,,2023,4571.7,"영농체험시설,편의시설(야영장)",,,,,
2024-12,포천시,가온해관광농원,,2018,7898,"영농체험시설,편의시설(야영장)",,,,,
2024-12,포천시,마음정원관광농원,,2021,21228,"영농체험시설,편의시설(야영장)",,,,,
2024-12,화성시,화수관광농원,,1995,18150,"영농체험시설(고구마캐기 등), 축구장, 족구장",,,,,
2024-12,화성시,은수포관광농원,,2009,15021,"영농체험시설, 수련시설(농어촌민박), 체육시설",,,,,
2024-12,화성시,활초관광농원,,2011,5415,"영농체험시설, 특산품판매, 버섯재배, 웰빙음식점 등",,,,,
2024-12,화성시,글램핑코리아송산점,,2020,4950,"영농체험시설, 농작물판매, 야영장 등",,,,,
2024-12,화성시,농업회사법인 ㈜더포레,,2020,7568,"영농체험, 전시장, 음식점, 소매점 등",,,,,
2024-12,화성시,안녕동전농농원,,2024,10885,"영농체험, 일반음식점 등",,,,,
2024-12,화성시,농업회사법인 ㈜청학관광레저,,2022,26960,"영농체험, 야영장, 전시장, 소매점 등",,,,,
2024-12,화성시,농업회사법인 ㈜백운농원,,2023,23285,"영농체험, 지역특산물판매시설, 음식점 등",,,,,
2024-12,화성시,안석리관광농원,,2023,12748,"영농체험, 야영장, 소매점 등",,,,,
2024-12,화성시,화성고잔호수관광농원,,2023,16045,"영농체험, 지역특산물판매시설, 휴양시설(허브, 다육), 운동시설 등",,,,,
2024-12,화성시,제암관광농원,,2024,13964,"영농체험, 야영장, 음식점 등",,,,,
2024-12,화성시,농업회사법인 ㈜더뷰,,2022,16781,"영농체험, 야영장, 치유의숲, 소매점 등",,,,,

